name,stars,review,type,lng,lat
il Garage,4.5,50,"$$ - $$$, Italian, Pizza, Vegetarian Friendly",41.710674,44.754288
Shemomechama,4.5,49,"$, Georgian, Barbecue",41.706345,44.773254
Chateau Mukhrani Wine Bar,4.5,48,"$$ - $$$, Wine Bar, Vegetarian Friendly",41.689579,44.809109
Akhali Gemo,4.5,48,"$$ - $$$, Barbecue, Vegetarian Friendly",41.701698,44.806553
Сhef's Grandma,4.5,46,"$, Georgian, Vegetarian Friendly",41.696014,44.795910
GALA Restaurant and Bar,4.5,45,"$$ - $$$, Contemporary, Wine Bar, Georgian",41.692616,44.801075
Dzin Chao,4.5,44,"$$ - $$$, Chinese, Asian, Vegetarian Friendly",41.713703,44.780037
Alubali,4.5,43,"$$ - $$$, Georgian, Eastern European, Vegetarian Friendly",41.705002,44.790257
2 Tons Varketili,4.5,43,"$$ - $$$, Bar, Barbecue, Pub",41.707581,44.871643
Karabak Turkish Restaurant,4.5,42,"$$ - $$$, Turkish, European, Middle Eastern",41.720573,44.796551
Indian Express Tbilisi,4.5,39,"$$ - $$$, Indian, Vegetarian Friendly, Vegan Options",41.723427,44.728230
Point Terrasse,4.5,39,"$$ - $$$, Bar, Barbecue, Grill",41.692936,44.805111
Gvimra,4.5,39,"$$ - $$$, Georgian, Vegetarian Friendly, Vegan Options",41.694519,44.803200
Khushi Indian Sweets and Restaurant,4.5,39,"$$ - $$$, Indian, Fast Food, Grill",41.720428,44.797054
Mukhatsakatukha,4.5,38,"$$ - $$$, European, International, Vegetarian Friendly",41.706223,44.789459
Cafe Manu,4.5,38,"$$ - $$$, Bar, European, Pub",41.705563,44.786747
Amra Restaurant,4.5,38,"$, Georgian, Caucasian, Vegetarian Friendly",41.723709,44.716679
Rasmussen's,4.5,37,"$, Georgian, European, Vegetarian Friendly",41.689205,44.807285
Badagoni Home,4.5,36,"$$ - $$$, Georgian, Wine Bar, Healthy",41.693527,44.800957
Shemoikhede Genatsvale,4.5,36,"$$ - $$$, Vegetarian Friendly",41.694756,44.802387
Tannin,4.5,36,"$$ - $$$, Eastern European, Georgian, Vegetarian Friendly",41.698837,44.797867
Chveni,4.5,35,"$$ - $$$, European, Georgian",41.705128,44.799824
Kolkhuri Sakhli,4.5,33,"$$ - $$$, Georgian",41.691490,44.811604
RameRume,4.5,32,"$$ - $$$, Grill, Vegetarian Friendly",41.651821,44.739815
Sapore,4.5,32,"$$ - $$$, Turkish, Cafe, Vegan Options",41.710644,44.796513
Marjanishvili 8 Coffee and Dining,4.5,30,"$$ - $$$, Cafe, European, Georgian",41.708851,44.794579
Asian Cuisine Tbilisi,4.5,28,"$, Asian, Thai, Indian",41.695705,44.803135
Botanical Garden Cafe,4.5,27,"$$ - $$$, Cafe, European, Georgian",41.686867,44.808590
Kitchen Home Studio,4.5,27,"$$ - $$$, European, Asian, Georgian",41.692307,44.802170
Cafe Kalasi,4.5,27,"$, Georgian, Cafe, European",41.693344,44.804272
City Roof Terrace Bar,4.5,26,"$$ - $$$, Japanese, Asian, Vietnamese",41.692062,44.801254
Tits and Dragons,4.5,26,"$$ - $$$, Barbecue",41.698769,44.796471
Terrawine,4.5,26,"$$ - $$$, European, Georgian, Eastern European",41.707951,44.786144
Cafe Museum,4.5,25,"$$ - $$$, Italian, French, Cafe",41.699551,44.803703
Strada,4.5,25,"$$ - $$$, American, Pizza, European",41.710770,44.755127
Pepperboy Asian Restaurant,4.5,25,"$$ - $$$, Japanese, Asian, Korean",41.706818,44.783539
Lake Station,4.5,23,"$$ - $$$, Pizza, European, Grill",41.701389,44.754581
Number 8 Bar & Grill,4.5,22,"$, Bar, European, Vegetarian Friendly",41.707275,44.769436
Travellers' Cafe,4.5,22,"$$ - $$$, Cafe, International, Grill",41.690586,44.807735
Tone,4.5,21,"$$ - $$$, European, Wine Bar, Georgian",41.709026,44.802807
The Old Town Restaurant & Garden,4.5,21,"$$ - $$$, European, Georgian, Vegetarian Friendly",41.688679,44.813393
Kohinoor - Indian and Arabic Cuisine,4.5,21,"$, Indian, Arabic",41.692780,44.805641
Mukhambazi,4.5,21,"$$ - $$$, Barbecue, Eastern European, Vegetarian Friendly",41.781921,44.782475
Achechili,4.5,21,"$$ - $$$, Georgian, Bar, Pub",41.690403,44.808605
Hookah Place na Shota Rustaveli,4.5,21,"$, European, Wine Bar, Georgian",41.700512,44.795483
Chashnagiri Leselidze,4.5,20,"$$ - $$$, Georgian, Barbecue, Italian",41.693325,44.804707
Ground 84,4.5,20,"$, Italian, Pizza, Cafe",41.720032,44.775452
Metekhis Chrdili,4.5,20,"$$ - $$$, Eastern European",41.688473,44.821106
Mapshalia,4.5,20,Georgian,41.715500,44.792961
Batona,4.5,19,"$$ - $$$, European, Georgian",41.752197,44.774891
My Dom Restaurant & Bar,4.5,18,"$$ - $$$, Georgian, Pub, Fusion",41.705959,44.803364
Sharbati Restaurant & Wine Cellar,4.5,18,"$$ - $$$, European, Georgian, Vegetarian Friendly",41.785007,44.768921
Mochi,4.5,17,"$$ - $$$, Japanese, Asian, Seafood",41.709648,44.757706
UKVE,4.5,17,"$, Sushi, Asian, Thai",41.709423,44.802563
Restaurant Seoul,4.5,17,"$, Asian, Korean, Healthy",41.729538,44.761269
Asian Cuisine,4.5,16,"$, Indian, Asian, Thai",41.695465,44.803547
Thai Curry,4.5,16,"$, Seafood, Fast Food, Asian",41.702320,44.792152
Sakhelosno BAR,4.5,16,"$, Bar, Pub",41.692604,44.806335
Jazz Cafe Aroma,4.5,16,$$ - $$$,41.690395,44.808708
Woland's Speakeasy,4.5,16,"$$ - $$$, Mexican, American, European",41.692532,44.799866
BreadBar,4.5,16,"$$ - $$$, Cafe, Vegetarian Friendly",41.712212,44.755951
Code de Vino,4.5,16,"$$ - $$$, American, Bar, European",41.691387,44.801304
House on Madatovi,4.5,15,"$$ - $$$, Georgian",41.703499,44.803345
Chef Konstantin Tedeluri,4.5,15,null,41.704483,44.783215
Cafe CHACHA Bar,4.5,15,"$, European, Ukrainian, Cafe",41.695007,44.792156
Wall,4.5,15,"$$ - $$$, Bar, European",41.696259,44.804783
Ziyade Turkish Restaurant & Butcher,4.5,15,"$$ - $$$, Turkish, Uzbek, Georgian",41.711880,44.795765
Taverna Dzveleburi Rachuli,4.5,14,"$, Georgian",41.707081,44.799217
Matreshka Ukrainian Restaurant,4.5,14,"$, Ukrainian, Georgian, Fusion",41.690975,44.808426
